temperature,humidity,ph,soil_moisture,yield
23.4,50.3,5.6,53.8,1.27
28.2,36.7,6.8,20.6,0.89
28.6,77.7,6.5,58.0,0.89
30.3,46.1,5.6,48.5,2.33
22.2,79.0,6.8,31.7,1.44
31.8,46.3,5.9,52.5,1.93
34.6,33.1,6.7,20.4,1.7
17.6,68.0,7.3,52.1,1.37
33.1,49.2,5.6,40.3,1.83
18.3,74.5,6.9,52.8,1.21
18.8,68.2,6.4,30.5,0.88
32.2,60.1,6.3,38.3,2.42
24.9,71.3,5.7,27.4,1.7
24.1,73.1,6.3,50.5,2.34
32.4,71.6,5.9,57.7,1.24
24.5,43.4,7.2,39.7,1.13
34.1,78.4,5.8,23.1,2.45
18.5,49.0,7.3,42.7,1.2
33.0,39.0,6.4,39.2,1.07
21.1,40.6,6.3,42.6,1.28
29.2,32.2,7.0,39.8,0.95
30.8,75.2,5.6,28.5,0.51
18.3,69.8,6.9,58.0,1.38
19.2,40.4,7.4,21.1,2.12
32.3,61.2,5.7,20.7,1.04
34.2,33.4,7.4,34.7,0.55
16.1,64.9,5.7,32.7,0.57
32.8,57.5,6.2,42.9,0.87
34.2,50.3,5.6,29.7,1.84
26.5,60.7,7.3,44.7,1.39
27.7,42.2,5.7,24.2,0.93
26.4,60.6,6.3,32.6,1.34
26.7,76.1,5.6,45.4,0.97
21.3,75.7,7.2,52.4,0.64
25.8,43.5,5.9,32.5,2.24
26.2,70.8,7.2,60.0,0.81
34.9,77.2,5.6,42.3,1.89
26.9,65.4,5.5,59.6,1.17
33.8,78.6,6.1,28.0,1.61
32.7,50.6,7.4,45.7,2.46
28.0,45.3,6.8,49.4,2.25
30.2,74.8,5.6,52.9,1.68
17.5,45.9,6.1,22.0,2.36
29.9,73.9,6.8,44.5,1.9
26.9,48.8,6.2,57.1,1.17
27.3,40.2,6.1,32.5,2.44
19.7,72.8,7.4,33.2,1.14
25.0,47.4,7.1,28.6,1.22
23.5,47.2,7.1,37.4,0.66
21.5,40.6,6.7,28.3,2.13
33.6,51.7,5.9,21.4,1.26
15.2,75.2,6.2,21.0,1.42
22.9,45.7,6.2,22.2,0.67
34.4,50.4,6.8,28.9,1.3
27.0,66.6,7.1,40.2,1.63
18.0,31.4,7.2,59.0,1.22
29.9,67.9,6.4,41.3,1.7
27.8,46.7,5.9,39.2,2.15
33.2,69.1,6.8,31.9,0.6
17.8,79.1,6.8,23.3,0.75
22.2,77.7,7.0,47.1,2.34
27.7,51.5,6.7,24.0,2.3
21.2,61.0,6.8,22.6,0.58
26.9,79.2,5.8,37.8,1.12
27.5,73.4,7.4,20.3,0.64
15.6,66.8,6.0,32.4,2.42
21.5,57.6,5.8,31.0,2.41
21.6,36.7,6.5,39.3,1.17
17.1,78.8,5.8,35.1,1.13
27.3,77.9,7.3,36.1,1.77
19.4,30.1,5.7,25.0,0.55
19.3,67.9,6.1,48.5,0.94
16.2,78.5,6.1,46.8,0.91
34.2,30.1,6.8,52.8,1.99
24.4,32.8,6.9,52.5,1.3
18.2,60.4,6.8,55.2,2.26
28.6,40.5,6.5,34.1,2.08
24.8,45.5,6.4,51.9,0.9
16.5,43.4,7.1,25.0,1.71
17.2,55.2,7.3,42.0,1.67
29.5,45.0,6.6,37.3,1.48
18.2,62.5,6.5,34.8,0.77
20.7,37.5,6.5,46.1,1.52
19.1,60.0,7.2,28.7,2.25
34.2,48.8,5.9,51.2,1.02
24.4,70.7,6.8,44.1,1.69
16.9,66.4,6.5,33.3,2.37
19.6,73.5,6.7,56.4,0.96
23.3,32.1,6.6,37.8,1.87
17.4,47.4,6.1,55.1,1.62
19.2,39.4,5.5,41.5,1.24
22.0,44.1,7.1,42.9,1.19
33.7,56.8,5.9,23.4,0.57
25.6,65.1,5.8,51.3,1.64
28.1,34.9,5.7,42.4,1.67
17.6,59.6,6.6,49.9,0.87
33.2,77.0,7.2,59.5,1.85
21.5,64.0,6.4,43.7,0.71
19.0,50.8,6.7,20.3,1.04
32.8,75.8,7.1,52.8,2.44
28.8,45.8,6.2,50.9,1.4
18.6,59.7,6.0,51.6,1.83
27.0,63.6,6.2,45.4,1.46
26.7,51.9,7.3,44.1,2.49
18.0,60.9,6.2,39.2,1.62
17.4,38.0,5.9,43.4,0.9
26.5,51.5,7.2,36.9,2.15
33.4,36.3,6.9,42.6,0.86
34.5,56.2,7.1,36.8,0.66
32.1,79.5,6.5,33.8,2.47
28.9,61.8,7.0,42.6,1.58
24.7,33.3,7.3,33.4,1.11
31.8,68.6,7.0,43.3,0.57
27.2,60.7,6.2,34.2,1.47
29.7,52.4,5.8,37.0,2.4
